School ID,School Name,Network,Governance,School Type,Community Area,Total,PE,PK,K,1,2,3,4,5,6,7,8,9,10,11,12
610060,Chicago World Language Academy,Network 6,District,Traditional,NEAR WEST SIDE,454,0,0,50,55,53,55,56,57,56,35,37,0,0,0,0
609854,CHOPIN,Network 5,District,Traditional,WEST TOWN,267,1,20,27,34,25,28,18,27,32,26,29,0,0,0,0
609855,CHRISTOPHER,Network 8,District,Traditional,GAGE PARK,331,0,0,16,31,29,32,36,40,50,50,47,0,0,0,0
610347,CLAREMONT,Network 10,District,Traditional,CHICAGO LAWN,340,4,15,26,35,38,33,30,39,48,33,39,0,0,0,0
609795,CLARK ES,ISP,District,Traditional,AUSTIN,146,0,8,13,11,17,11,17,18,21,11,19,0,0,0,0
610244,CLARK HS,ISP,District,Traditional,AUSTIN,460,0,0,0,0,0,0,0,0,0,0,0,115,120,99,126
609856,CLAY,Network 13,District,Traditional,HEGEWISCH,539,18,36,39,59,50,50,49,64,50,55,69,0,0,0,0
609759,CLEMENTE HS,Network 15,District,Traditional,WEST TOWN,594,0,0,0,0,0,0,0,0,0,0,0,140,185,142,127
609857,CLEVELAND,Network 1,District,Traditional,IRVING PARK,462,27,41,35,48,41,49,42,50,47,36,46,0,0,0,0
609859,CLINTON,ISP,District,Traditional,WEST RIDGE,"1,006",1,39,110,107,84,107,102,125,106,109,116,0,0,0,0
609861,CLISSOLD,Network 10,District,Traditional,MORGAN PARK,391,2,17,31,52,33,40,36,46,40,51,43,0,0,0,0
610199,COLEMON,Network 13,District,Traditional,WEST PULLMAN,193,2,19,22,14,18,20,23,18,17,13,27,0,0,0,0
609862,COLES,Network 12,District,Traditional,SOUTH CHICAGO,263,4,22,26,24,23,27,23,28,28,33,25,0,0,0,0
610499,COLLINS HS,AUSL,District,Traditional,NORTH LAWNDALE,223,0,0,0,0,0,0,0,0,0,0,0,51,61,60,51
610170,COLUMBIA EXPLORERS,ISP,District,Traditional,BRIGHTON PARK,748,30,73,60,69,64,73,67,56,82,82,92,0,0,0,0
609863,COLUMBUS,ISP,District,Traditional,WEST TOWN,278,0,17,29,25,30,30,30,24,28,29,36,0,0,0,0
609864,COOK,Network 11,District,Traditional,AUBURN GRESHAM,318,7,17,27,29,38,34,31,28,40,34,33,0,0,0,0
609866,COONLEY,Network 2,District,Traditional,NORTH CENTER,791,0,0,71,67,77,75,89,115,107,95,95,0,0,0,0
609867,COOPER,Network 7,District,Traditional,LOWER WEST SIDE,408,2,15,29,43,34,37,46,55,46,56,45,0,0,0,0
609870,CORKERY,ISP,District,Traditional,SOUTH LAWNDALE,430,1,19,42,48,41,42,50,49,45,43,50,0,0,0,0
609761,CORLISS HS,Network 17,District,Traditional,PULLMAN,300,0,0,0,0,0,0,0,0,0,0,0,83,86,62,69
610355,COURTENAY,Network 2,District,Traditional,UPTOWN,211,1,11,22,21,27,20,32,17,24,16,20,0,0,0,0
610561,CRANE MEDICAL HS,Network 15,District,Traditional,NEAR WEST SIDE,313,0,0,0,0,0,0,0,0,0,0,0,67,65,82,99
609873,CROWN,Network 5,District,Traditional,NORTH LAWNDALE,125,0,6,10,13,9,21,12,23,7,13,11,0,0,0,0
610003,CUFFE,Network 11,District,Traditional,AUBURN GRESHAM,228,0,23,24,24,15,29,24,20,29,20,20,0,0,0,0
610004,CULLEN,Network 13,District,Traditional,ROSELAND,164,0,0,14,19,21,18,14,18,19,21,20,0,0,0,0
609756,CURIE HS,Network 15,District,Traditional,ARCHER HEIGHTS,"2,935",0,0,0,0,0,0,0,0,0,0,0,832,833,653,617
609900,CURTIS,Network 13,District,Traditional,ROSELAND,376,0,24,33,38,55,39,42,38,40,33,34,0,0,0,0
610239,DALEY,Network 8,District,Traditional,NEW CITY,488,0,38,36,57,49,54,61,44,62,43,44,0,0,0,0
609875,DARWIN,Network 4,District,Traditional,LOGAN SQUARE,504,21,45,58,46,48,51,47,47,53,37,51,0,0,0,0
610521,DAVIS M,ISP,District,Traditional,WEST ENGLEWOOD,133,0,9,14,11,12,12,19,12,9,17,18,0,0,0,0
609876,DAVIS N,Network 8,District,Traditional,BRIGHTON PARK,515,24,36,50,42,53,47,41,56,47,50,69,0,0,0,0
609879,DAWES,Network 10,District,Traditional,ASHBURN,985,33,63,86,85,101,92,97,88,100,120,120,0,0,0,0
